Jersey No,Name,Nickname,SAVED NAME,Role,Position,Nationality,Date of birth,Age,Wikipedia Link
,David Alaba,David Alaba,Alaba,Defender,LB,Austria,24/06/1992,29,https://en.wikipedia.org/wiki/David_Alaba
2,Daniel Carvajal Ramos,Dani Carvajal,Carvajal,Defender,RB,Spain,11/01/1992,29,https://en.wikipedia.org/wiki/Dani_Carvajal
12,Marcelo Vieira da Silva,Marcelo,Marcelo,Defender,LB,Brazil,12/05/1988,33,"https://en.wikipedia.org/wiki/Marcelo_(footballer,_born_1988)"
23,Ferland Mendy,Ferland Mendy,Mendy,Defender,LB,France,08/06/1995,26,https://en.wikipedia.org/wiki/Ferland_Mendy
3,Éder Gabriel Militão,Éder Militão,Militão,Defender,RB,Brazil,18/01/1998,23,https://en.wikipedia.org/wiki/%C3%89der_Milit%C3%A3o
6,José I. Fernández Iglesias,Nacho,Nacho,Defender,CB,Spain,18/01/1990,31,"https://en.wikipedia.org/wiki/Nacho_(footballer,_born_1990)"
19,Álvaro Odriozola,Álvaro Odriozola,Odriozola,Defender,RB,Spain,14/12/1995,26,https://en.wikipedia.org/wiki/%C3%81lvaro_Odriozola
5,Raphaël Varane,Raphaël Varane,Varane,Defender,CB,France,24/04/1993,28,https://en.wikipedia.org/wiki/Rapha%C3%ABl_Varane
11,Marco Asensio Willemsen,Marco Asensio,Asensio,Forward,RW,Spain,21/01/1996,25,https://en.wikipedia.org/wiki/Marco_Asensio
9,Karim Benzema,Karim Benzema,Benzema,Forward,ST,France,19/12/1987,34,https://en.wikipedia.org/wiki/Karim_Benzema
7,Eden Hazard,Eden Hazard,Hazard,Forward,LW,Belgium,07/01/1991,30,https://en.wikipedia.org/wiki/Eden_Hazard
17,Lucas Vázquez Iglesias,Lucas Vázquez,Lucas,Forward,RW,Spain,01/07/1991,30,https://en.wikipedia.org/wiki/Lucas_V%C3%A1zquez
24,Mariano Díaz Mejía,Mariano Díaz,Mariano,Forward,ST,Spain,01/08/1993,28,https://en.wikipedia.org/wiki/Mariano_D%C3%ADaz
25,Rodrygo Goes,Rodrygo Goes,Rodrygo,Forward,RW,Brazil,09/01/2001,20,https://en.wikipedia.org/wiki/Rodrygo
20,Vinicius Paixao de Oliveira Junior,Vinicius Junior,Vinicius,Forward,LW,Brazil,12/07/2000,21,https://en.wikipedia.org/wiki/Vin%C3%ADcius_J%C3%BAnior
1,Thibaut Courtois,Thibaut Courtois,Courtois,Goalkeeper,GK,Belgium,11/05/1992,29,https://en.wikipedia.org/wiki/Thibaut_Courtois
13,Andriy Lunin,Andriy Lunin,Lunin,Goalkeeper,GK,Ukraine,11/02/1999,22,https://en.wikipedia.org/wiki/Andriy_Lunin
14,Carlos Henrique Casimiro,Casimiro,Casimiro,Midfielder,CDM,Brazil,23/02/1992,29,https://en.wikipedia.org/wiki/Casemiro
22,Francisco Román  Alarcón,Isco,Isco,Midfielder,CAM,Spain,21/04/1992,29,https://en.wikipedia.org/wiki/Isco
8,Toni Kroos,Toni Kroos,Kroos,Midfielder,CAM,Germany,04/01/1990,31,https://en.wikipedia.org/wiki/Toni_Kroos
10,Luka Modric,Luka Modric,Modric,Midfielder,CAM,Croatia,09/09/1985,36,https://en.wikipedia.org/wiki/Luka_Modri%C4%87
15,Federico Santiago Valverde Dipetta,Fede Valverde,Valverde,Midfielder,CDM,Uruguay,27/07/1998,23,https://en.wikipedia.org/wiki/Federico_Valverde